# 🔄 Migrated from legacy SRS Foundry format (old session: [S-luuci01]) by SRS Foundry Migrator. Date: 2026-07-20.
# [S-luucipet] RTM — Part B (§5–§10)

| Req-ID | Title | Source Tags | Section | Status | Linked Standards | Conflict IDs | Feasibility Score (D1–D5) | Verification Method | Notes |
| SRS-SAFE-0003 | CCF-L Zone 2 Breakaway Force Window (Canine Lg) 28-40 N | [PRD §10.1.3.2b],[PRD §10.1.4],[PRD §13.2],[STD: EU GPSR],[ASSUMPTION: A-0017],[ASSUMPTION: A-0020] | §7 | APPROVED | GPSR 2023/988 (RM-0024/RM-0031) | — | PASS/MARGINAL/PASS/PASS/PASS | Test | in-scope |
| SRS-SAFE-0004 | CCF-L Force-Window Contingency >26 g → floor 30 N | [PRD §10.1.4] | §7 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Analysis | in-scope |
| SRS-SAFE-0005 | Zone 2 Single-Use Restriction | [PRD §10.1.3.2b],[PRD §13.2] | §7 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-SAFE-0006 | Zone 2 No-Detached-Fragment on Fracture | [PRD §10.1.3.2b] | §7 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Inspection | in-scope |
| SRS-SAFE-0007 | Zone 2 Post-Fracture Surface Bluntness | [PRD §10.1.3.2b] | §7 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Inspection | in-scope |
| SRS-SAFE-0008 | Zone 2 Visible Fracture Indicator | [PRD §10.1.3.2b],[PRD §13.2] | §7 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Inspection | in-scope |
| SRS-SAFE-0009 | Zone 1 Structural Retention Force ≥50 N | [PRD §10.1.3.1],[PRD §10.1.3.4],[PRD §13.2] | §7 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-SAFE-0010 | Zone 1 Survival Through Zone 2 Fracture | [PRD §10.1.3.1] | §7 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-SAFE-0011 | Twist-Lock Axial Retention Force >100 N | [PRD §10.1.3.1] | §7 | APPROVED | — | CR-0009 | PASS/PASS/PASS/PASS/PASS | Test | in-scope; Priority→CRITICAL per CR-0009 |
| SRS-SAFE-0012 | Twist-Lock Retention Under 50 g Pet-Motion Inertial Loading | [PRD §10.1.3.2a] | §7 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-SAFE-0013 | No-Wear-Without-Intact-Zone-2 | [PRD §10.1.3.6] | §7 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Inspection | in-scope |
| SRS-SAFE-0014 | Device Separation-Signature Emission | [PRD §10.1.3.6] | §7 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-SAFE-0015 | [EXTERNAL] CCF-Replacement-Required Notification | [PRD §10.1.3.6],[EXTERNAL: Mobile App team] | §7 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Inspection (external conformance evidence) | EXTERNAL |
| SRS-SAFE-0016 | Zone 2 Non-Fracture Under Chew-Compressive Load <250 N | [PRD §13.2] | §7 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-SAFE-0017 | CCF Body Chew-Penetration Resistance ≥30 s @250 N | [PRD §13.2] | §7 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-SAFE-0018 | Device Enclosure Chew Resistance (qualitative) | [PRD §10.1.2],[PRD — ABSENT] | §7 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Analysis | in-scope |
| SRS-SAFE-0019 | Device-Absent Socket Entrapment-Hazard Avoidance (qualitative) | [PRD §10.1.3.5],[PRD §13.2] | §7 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Analysis | in-scope |
| SRS-SAFE-0020 | Device-Absent Socket Probe-Clearance Criterion (12 mm) | [PRD §10.1.3.5],[ASSUMPTION: A-0010] | §7 | APPROVED | — | — | PASS/MARGINAL/PASS/PASS/PASS | Test | in-scope |
| SRS-SAFE-0021 | Animal-Contact Material Non-Toxicity | [PRD §10.1.2],[PRD §13.2] | §7 | APPROVED | REACH/RoHS/Prop 65 → §17 (RM-0026) | — | PASS/PASS/PASS/PASS/PASS | Inspection | in-scope |
| SRS-SAFE-0022 | Battery-Ingestion Warning Labeling | [PRD §13.2],[ASSUMPTION: A-0011] | §7 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Inspection | in-scope |
| SRS-SEC-0001 | BLE Link-Layer AES-128 CCM Encryption | [PRD §6.3],[PRD §6.7],[PRD §8.2],[PRD §12.3],[STD: RM-0019] | §8 | APPROVED | ETSI EN 303 645:2025 (RM-0019) | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-SEC-0002 | LE Secure Connections Pairing | [PRD §6.3],[PRD §6.7],[PRD §12.3],[STD: RM-0019] | §8 | APPROVED | ETSI EN 303 645:2025 (RM-0019) | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-SEC-0003 | TLS 1.3 Exclusivity for All Base-to-Cloud Transport | [PRD §6.5],[PRD §11.2],[PRD §12.3],[STD: RM-0019] | §8 | APPROVED | ETSI EN 303 645:2025 (RM-0019) | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-SEC-0004 | Unique Cryptographic Identity at Manufacturing | [PRD §12.3],[STD: RM-0019] | §8 | APPROVED | ETSI EN 303 645:2025 (RM-0019) | — | PASS/PASS/PASS/PASS/PASS | Inspection | in-scope |
| SRS-SEC-0005 | Secure Boot with Hardware Root of Trust | [PRD §12.3],[PRD §10.7],[STD: RM-0019] | §8 | APPROVED | ETSI EN 303 645:2025 (RM-0019) | — | PASS/PASS/MARGINAL/PASS/PASS | Test | in-scope; DVT watch |
| SRS-SEC-0006 | Public Vulnerability-Disclosure Policy Before Launch | [PRD §12.3],[PRD §13.5],[STD: RM-0019],[STD: RM-0021] | §8 | APPROVED | RM-0019; RM-0021 | — | PASS/PASS/PASS/PASS/PASS | Inspection | in-scope |
| SRS-DATA-0001 | Classification Record Content | [PRD §7.5] | §9 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-DATA-0002 | Confidence Score Bound | [PRD §7.5] | §9 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-DATA-0003 | Record Timestamp Accuracy | [PRD §7.5] | §9 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-DATA-0004 | GNSS Context on Max Variant | [PRD §7.5] | §9 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-DATA-0005 | On-Device Storage Duration | [PRD §7.5],[PRD §10.6] | §9 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-DATA-0006 | Retention Through Power Loss | [PRD §10.6] | §9 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-DATA-0007 | Storage Corruption Detection | [PRD §10.6] | §9 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-DATA-0008 | Classification Independent of Connectivity | [PRD §7.6] | §9 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-DATA-0009 | Record Forwarding Without Corruption | [PRD §7.6] | §9 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-DATA-0010 | Record Forwarding Without Sequence Loss | [PRD §7.6] | §9 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-DATA-0011 | Raw Sensor Data Transmission Boundary | [PRD §7.7] | §9 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-DATA-0012 | On-Device Normalization | [PRD §7.7] | §9 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Analysis | in-scope |
| SRS-DATA-0013 | No Cloud Round-Trip for Classification | [PRD §7.7] | §9 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Demonstration | in-scope |
| SRS-DATA-0014 | Raw Sample Retention Minimization | [PRD §7.7],[STD: RM-0015] | §9 | APPROVED | GDPR Art.25 (RM-0015) | — | PASS/PASS/PASS/PASS/PASS | Analysis | in-scope |
| SRS-DATA-0015 | Buffered Data Retention Until Acknowledgement | [PRD §8.4] | §9 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope; xref CONN-0008 |
| SRS-DATA-0016 | No Buffer Clear on Disconnect Alone | [PRD §8.4] | §9 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope; xref CONN-0010 |
| SRS-DATA-0017 | Stale-Data Flag on Delayed Upload | [PRD §8.7] | §9 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-DATA-0018 | Data Minimization for Personal Data | [STD: RM-0015],[STD: RM-0016],[STD: RM-0018] | §9 | APPROVED | RM-0015; RM-0016; RM-0018 | — | PASS/PASS/PASS/PASS/PASS | Inspection | in-scope |
| SRS-DATA-0019 | Purpose Limitation | [STD: RM-0015],[STD: RM-0016],[STD: RM-0018] | §9 | APPROVED | RM-0015; RM-0016; RM-0018 | — | PASS/PASS/PASS/PASS/PASS | Inspection | in-scope |
| SRS-DATA-0020 | On-Device Data Deletion Support | [STD: RM-0015],[STD: RM-0016],[STD: RM-0019] | §9 | APPROVED | RM-0015; RM-0016; RM-0019 | — | MARGINAL/PASS/PASS/PASS/PASS | Demonstration | in-scope; D1-MARGINAL |
| SRS-DATA-0021 | On-Device Data Access Support | [STD: RM-0015],[STD: RM-0016],[STD: RM-0018] | §9 | APPROVED | RM-0015; RM-0016; RM-0018 | — | MARGINAL/PASS/PASS/PASS/PASS | Demonstration | in-scope; D1-MARGINAL |
| SRS-DATA-0022 | Consumer Privacy Rights Contingency (CCPA/CPRA) | [STD: RM-0017] | §9 | APPROVED | CCPA/CPRA INDICATIVE (RM-0017) | — | PASS/PASS/PASS/PASS/PASS | Analysis | in-scope; contingent |
| SRS-DATA-0023 | Data-at-Rest Encryption | [STD: RM-0015],[STD: RM-0019] | §9 | APPROVED | RM-0015; RM-0019 | — | PASS/PASS/PASS/PASS/PASS | Inspection | in-scope |
| SRS-DATA-0024 | Transport to Cloud Device-Management Layer | [PRD §6.1],[ASSUMPTION: A-0015] | §9 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-DATA-0025 | Breakaway Record Commit Timing | [ASSUMPTION: A-0018] | §9 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-DATA-0026 | Breakaway Record Survivability | [ASSUMPTION: A-0018] | §9 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-DATA-0027 | Breakaway Record Transmission Trigger | [ASSUMPTION: A-0018] | §9 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0001 | Collar BLE Peripheral Role | [PRD §6.3], [PRD §8.1], [PRD §10.3] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0002 | Base Station BLE Central Role | [PRD §11.2] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0003 | Minimum Concurrent Collar Sessions | [PRD §8.1], [PRD §11.2] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0004 | Default BLE Advertising Interval | [PRD §6.3], [PRD §8.1] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0005 | Configurable BLE Advertising Interval Range | [PRD §8.1] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0006 | Advertising Continuity During Active Connection | [PRD §8.1], [PRD §10.3] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0007 | BLE Address Randomization | [PRD §8.1], [PRD §10.3] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0008 | Minimum BLE Transmit Power | [PRD §10.3] | §10 | APPROVED | — | CR-0018 (XSC-0009) | PASS/PASS/PASS/PASS/PASS | Test | in-scope; back-XR→HW-0019 per CR-0018 |
| SRS-INT-0009 | Minimum BLE Open-Air Range | [PRD §10.3], [PRD §12.1] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0010 | BLE Link-Layer Encryption Algorithm | [PRD §6.3], [PRD §8.2], [PRD §10.3] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0011 | BLE Pairing via LE Secure Connections | [PRD §6.3], [PRD §8.2] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0012 | QR Out-of-Band Pairing Mechanism | [PRD §6.3], [PRD §8.2] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0013 | BLE Radio Regulatory Conformance | [PRD §13.1] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0014 | Bluetooth SIG Qualification | [STD: Bluetooth SIG Qualification (QDID)], [PRD §13.1] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Inspection | in-scope |
| SRS-INT-0015 | RF Human-Exposure Assessment | [PRD §13.1] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Analysis | in-scope |
| SRS-INT-0016 | Wi-Fi Radio Band and Standard | [PRD §4.2], [PRD §6.5] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0017 | Cloud Uplink Transport Encryption | [PRD §6.5], [PRD §11.2], [PRD §12.3] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0018 | Default Access-Point Configuration Compatibility | [PRD §12.6] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0019 | Minimum Wi-Fi Uplink Signal Condition | [ASSUMPTION A-0009] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0020 | Wi-Fi Radio Regulatory Conformance | [PRD §13.1] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0021 | GNSS Interface Presence on Max | [PRD §4.1], [PRD §10.2.2] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0022 | GNSS Interface Absence on Mini | [PRD §4.1] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Inspection | in-scope |
| SRS-INT-0023 | Configurable GNSS Fix Interval Range | [PRD §4.1], [PRD §10.2.2] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0024 | Default GNSS Fix Interval | [PRD §4.1], [PRD §10.2.2] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0025 | A-GPS Assistance Data Delivery | [PRD §10.2.2] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0026 | A-GPS Assistance Data Validity Window | [PRD §10.2.2] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0027 | GNSS Power Gating During HOME State | [PRD §10.2.2], [PRD §6.4], [ASSUMPTION A-0016] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0028 | GNSS Fix Acquisition Timeout | [PRD §10.2.2], [PRD §15.5] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0029 | Warm GNSS Time-to-First-Fix Ceiling | [PRD §12.1] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0030 | GNSS Intentional-Radiator Exemption Status | [PRD §13.1] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Analysis | in-scope |
| SRS-INT-0031 | Pogo-Pin Contact Count and Function | [PRD §10.5] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Inspection | in-scope |
| SRS-INT-0032 | Magnetic Charging Alignment | [PRD §6.6], [PRD §10.5] | §10 | APPROVED | — | CR-0019 (XSC-0010) | PASS/PASS/PASS/PASS/PASS | Demonstration | in-scope; Priority→CRITICAL per CR-0019 |
| SRS-INT-0033 | First-Attempt Docking Seating Rate | [PRD §10.1.3.5] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0034 | Full-Charge Time Ceiling | [PRD §10.5], [PRD §12.4] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0035 | IP67 Rating When Undocked | [PRD §6.6], [PRD §10.5], [PRD §13.4] | §10 | APPROVED | — | CR-0016 (XSC-0007) | PASS/PASS/PASS/PASS/PASS | Test | in-scope; back-XR→HW-0004 per CR-0016 |
| SRS-INT-0036 | Charging Socket Self-Drainage | [PRD §10.5], [PRD §10.1.3.5] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0037 | Charging-Access Removal Rotation | [PRD §6.6], [PRD §10.5] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Demonstration | in-scope |
| SRS-INT-0038 | Device-Absent Socket Entrapment Geometry | [ASSUMPTION A-0010], [PRD §10.1.3.5] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0039 | Bayonet Lug Configuration | [PRD §10.1.3.2a] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Inspection | in-scope |
| SRS-INT-0040 | Lock/Unlock Rotation Angle | [PRD §10.1.3.2a] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0041 | Lug Ramp Self-Locking Profile | [PRD §10.1.3.2a] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Inspection | in-scope |
| SRS-INT-0042 | Twist-Lock Lug Dimensions | [PRD §10.1.3.2a] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Inspection | in-scope |
| SRS-INT-0043 | Asymmetric Keying Lug | [PRD §10.1.3.2a] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Inspection | in-scope |
| SRS-INT-0044 | Detent Release Torque Window | [PRD §10.1.3.2a] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0045 | Twist-Lock Axial Retention Floor | [PRD §10.1.3.1], [PRD §10.1.3.2a] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0046 | Twist-Lock Engagement Insertion Force Ceiling | [PRD §10.1.1], [PRD §10.1.3.2a] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0047 | Twist-Lock Engagement Rotation Torque Ceiling | [PRD §10.1.1], [PRD §10.1.3.2a] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0048 | Engagement Feedback | [PRD §10.1.3.2a] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Demonstration | in-scope |
| SRS-INT-0049 | Magnetic Engagement Assist Range | [PRD §10.1.3.2a] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0050 | Tool-Free Twist-Lock Operation | [PRD §10.1.3.2a], [PRD §12.4] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Demonstration | in-scope |
| SRS-INT-0051 | Twist-Lock Engagement Time Ceiling | [PRD §12.1], [PRD §12.4] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0052 | Common Device-Enforced Protocol Across Variants | [PRD §4.3], [ASSUMPTION A-0001] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Inspection | in-scope |
| SRS-INT-0053 | Payload Type — Behavioral Classification Record | [PRD §7.5], [PRD §8.3] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
| SRS-INT-0054 | Payload Type — BLE Sighting Report | [PRD §8.5], [PRD §11.3] | §10 | APPROVED | — | — | PASS/PASS/PASS/PASS/PASS | Test | in-scope |
