# 🔄 Migrated from legacy SRS Foundry format (old session: [S-luuci01]) by SRS Foundry Migrator. Date: 2026-07-20.
Req-ID,Title,Source Tags,Section,Status,Linked Standards,Conflict IDs,Feasibility (D1/D2/D3/D4/D5),Verification,Notes
REG-0029,UK Approved Body Engagement Applicability Determination,"[STD: RM-0005]",§18,APPROVED,UK SI 2017/1206,—,PASS/PASS/PASS/PASS/PASS,Analysis,In-scope
REG-0030,UK Responsible Person Designation,"[STD: RM-0005] | [PRD §13.1]",§18,APPROVED,UK SI 2017/1206,—,PASS/PASS/PASS/PASS/PASS,Inspection,In-scope
REG-0031,UK PSTI Act 2022 Compliance Declaration,"[STD: RM-0022] | [PRD §13.5]",§18,APPROVED,UK PSTI Act 2022,—,PASS/PASS/PASS/PASS/PASS,Inspection,In-scope
REG-0032,UK GDPR Compliance Basis,"[STD: RM-0016] | [PRD §13.5]",§18,APPROVED,UK GDPR + DPA 2018,—,PASS/PASS/PASS/PASS/PASS,Inspection,In-scope
REG-0033,UK Materials and Environmental Compliance Declaration,"[STD: RM-0026] | [STD: RM-0027]",§18,APPROVED,UK REACH · UK RoHS · UK WEEE,—,PASS/PASS/PASS/PASS/PASS,Inspection,In-scope
REG-0034,UK Producer Responsibility Packaging Compliance Declaration,"[STD: RM-0027] | [PRD §13.7]",§18,APPROVED,UK Packaging Regulations,—,PASS/PASS/PASS/PASS/PASS,Inspection,In-scope
REG-0035,Pre-Launch Certification-Status Gate (EU + UK),"[PRD §13.1] | [PRD §13.7]",§18,APPROVED,See REG-0014–0034 + REG-0045/0046,—,PASS/PASS/PASS/PASS/PASS,Inspection,In-scope
REG-0036,RCM Marking Declaration (AU/NZ),"[STD: RM-0007] | [PRD §13.1]",§18,APPROVED,AS/NZS 4268:2017,—,PASS/PASS/PASS/PASS/PASS,Inspection,In-scope
REG-0037,ACMA Supplier Code Registration,"[STD: RM-0007]",§18,APPROVED,ACMA Supplier Code,—,PASS/PASS/PASS/PASS/PASS,Inspection,In-scope
REG-0038,AU/NZ Responsible Supplier Designation,"[STD: RM-0007] | [PRD §13.1]",§18,APPROVED,AU/NZ In-Market Requirements,—,PASS/PASS/PASS/PASS/PASS,Inspection,In-scope
REG-0039,AU/NZ Certification Documentation Package,"[STD: RM-0007]",§18,APPROVED,AU/NZ Documentation Requirements,—,PASS/PASS/PASS/PASS/PASS,Inspection,In-scope
REG-0040,GNSS Exemption Determination (AU/NZ),"[STD: RM-0009] | [PRD §13.1]",§18,APPROVED,RCM / AS/NZS 4268:2017,—,PASS/PASS/PASS/PASS/PASS,Analysis,In-scope
REG-0041,CCPA/CPRA Contingent Market-Access Declaration,"[STD: RM-0017] | [PRD §13.5]",§18,APPROVED,CCPA/CPRA (contingent),—,PASS/PASS/PASS/PASS/PASS,Analysis,In-scope
REG-0042,Post-Certification Regulatory-Change Monitoring,"[PRD — ABSENT] | [PRD §13.7]",§18,APPROVED,All applicable per-market regulations,—,PASS/PASS/PASS/PASS/PASS,Inspection,In-scope
REG-0043,Certification and DoC Archival Retention,"[PRD — ABSENT]",§18,APPROVED,Per-market legal minimums (TBC),—,PASS/PASS/PASS/MARGINAL/PASS,Inspection,In-scope · A-0025 pending
REG-0044,Pre-Launch Certification-Status Gate (All Markets),"[PRD §13.1] | [PRD §13.7]",§18,APPROVED,See REG-0013/0035/0036–0043/0045/0046,—,PASS/PASS/PASS/PASS/PASS,Inspection,In-scope
REG-0045,GNSS Exemption Determination (EU),"[STD: RM-0009] | [PRD §13.1]",§18,APPROVED,EU RED 2014/53/EU · RM-0009,—,PASS/PASS/PASS/PASS/PASS,Analysis,In-scope · RM-0009 addendum
REG-0046,GNSS Exemption Determination (UK),"[STD: RM-0009] | [PRD §13.1]",§18,APPROVED,UK SI 2017/1206 · RM-0009,—,PASS/PASS/PASS/PASS/PASS,Analysis,In-scope · RM-0009 addendum
